user_id	user_name	time	location	text
97989357	tHeKnOwLeDgEaGe	Fri Sep 08 01:33:46 +0000 2017	Earth	RT @USNavy: Supplies &amp; equipment loaded onto #USNavy #USSIwoJima today in #Norfolk, ensuring its ready to respond for Hurricane… 
4666674510	Rob	Fri Sep 08 01:33:46 +0000 2017		"RT @dinadinahh: ??Don't forget tmrw?? 
Crazy hair day, pep rally schedule, and the first home game of the year @ 7:30 at Sam Houston ??"
28150017	Edgar Carreiro Jr	Fri Sep 08 01:33:46 +0000 2017		@wevertonaguiiar @pedrorhormes Sim... mas o ataque de Houston eh melhor... SÓ FALTA um qb... Capaz do Alex Smith ba… https://t.co/TVCwNLZnXS
800360114	myles	Fri Sep 08 01:33:46 +0000 2017	Broward, FLA	"Add me on firechat hopefully this hurricane don't rock my shit
remembermyles"
158954724	rolandex	Fri Sep 08 01:33:46 +0000 2017		"""This is how much Miami has grown since Hurricane Andrew"" https://t.co/6Tq6IgY2cb"
1370971824	Susan? UnitedWeStand	Fri Sep 08 01:33:47 +0000 2017		"RT @Mike_Beacham: America has given up its founding hedge of protection. 
Libtards sold us out... 
They gambled away our nation's sou… "
242031841	Smartypants	Fri Sep 08 01:33:47 +0000 2017	United States	RT @NBCPhiladelphia: Former Presidents Launch 'One America Appeal' to Support Hurricane Victims https://t.co/AYNSkix7MG https://t.co/zALn6y…
871474951852896256	Beverly  Atherton	Fri Sep 08 01:33:47 +0000 2017		RT @B52Malmet: Disgusting. Performance artists with huge egos, they are so sick. This racist fake news is beyond disgraceful. https://t.co/…
2400564697	zobug ?	Fri Sep 08 01:33:46 +0000 2017	UNL '69	RT @TheDweck: Get out of this country if you can't speak the language https://t.co/T90Rt8DxQ8
3289974559	e.h	Fri Sep 08 01:33:46 +0000 2017	Canada	RT @_AlexHirsch: It's not too late! Donate NOW to help victims of Harvey &amp; Irma and you can WIN insanely rare GF &amp; R&amp;M prizes!… 
3313618153	Revan Athame	Fri Sep 08 01:33:47 +0000 2017	The Ultra Renegade Universe	"RT @LatestAnonNews: Resources and safety plan to help prepare for Hurricane Irma.

#HurricaneIrma #Irma https://t.co/qxGmtV8awm"
2282652077	lilbihhhh??	Fri Sep 08 01:33:47 +0000 2017		RT @TreySongz: Prayers up for all in the path of Hurricane Irma!!! ??
825862516223782912	Kate	Fri Sep 08 01:33:47 +0000 2017	Houston, TX	"RT @GeorgeTakei: Wrong to rename Hurricane Irma after Ivanka.

After all, Irma is a powerful fast moving storm while Ivanka is weak, powerl…"
886269224481509376	Diane Morgan	Fri Sep 08 01:33:47 +0000 2017		Epic Video: Steve Harvey Puts Democrats ON NOTICE! - https://t.co/clgF7idhF7
309931220	I Am Gemma?	Fri Sep 08 01:33:47 +0000 2017	Down In Turks & Caicos	RT @_vantiii: The worst thing in life HAS to be going thru Cat 5 hurricane w/ people saying negative things about it instead of having fait…
3064035547	Dricka Barrett?	Fri Sep 08 01:33:47 +0000 2017		RT @Dripsetjazz: May God be with everyone effected by this hurricane ?
2384384840	JoceySue	Fri Sep 08 01:33:47 +0000 2017		RT @EricHolthaus: If you're in Irma's path, this is a worst-case scenario. You've never been in a hurricane like this—not even Andrew… 
2595476324	the weather man	Fri Sep 08 01:33:47 +0000 2017	Charlotte, NC	RT @kind_kiwi: so my teacher tried to lighten the mood about the hurricane https://t.co/OpfWnNaBHT
3007635224	kita	Fri Sep 08 01:33:47 +0000 2017	w / j.cole 	RT @Bluntsandfood: There's so much money in this picture it should be framed. https://t.co/K9wGfm8KYV
830588465569996801	coolin' & booted	Fri Sep 08 01:33:47 +0000 2017		Let that boy out before the hurricane get em shit!! #ily #sniperrr #GLEE https://t.co/gMVsxsPGL8
949180207	Hannah Jean	Fri Sep 08 01:33:47 +0000 2017	Melbourne, FL	"Hurricane Drinking Game: take a shot every time you see a ""calm before the storm"" picture ???#HuricaneIrma"
131303580	Pedro Mateo	Fri Sep 08 01:33:47 +0000 2017	Sto. Dgo. R. D.	RT @NWSMiami: 5pm Thursday 9/7- It's not looking good for South FL. Friday is the last day to prepare for major hurricane impacts… 
2438022743	cande	Fri Sep 08 01:33:47 +0000 2017	rnta + cq	omg :( https://t.co/wPiopDnEiR
3236447924	Larry (Not A Leaper)	Fri Sep 08 01:33:47 +0000 2017	Saskatoon, Saskatchewan	"RT @BjornLomborg: Harvey and Irma are terrible, but we need perspective:
Landfalling US hurricanes trending downwards over past 140 y… "
23633315	Meni	Fri Sep 08 01:33:46 +0000 2017	Manchester, NH	Another reason I hate the media replicating hurricane force winds with the reporter? You suck CNN https://t.co/XqFAUYOQVA
820042865103532033	nina | happy bday jd	Fri Sep 08 01:33:47 +0000 2017	lost bm revolution elh	"RT @glendonfrancis: Hi! Irma completely obliterated the island of Barbuda, and the people there desperately need your assistance.
https://t…"
396283913	Antoine	Fri Sep 08 01:33:47 +0000 2017		RT @Original_Sels: Your president has the rhetoric of a 4th grader https://t.co/P6YBd5bDSw
33787443	Mark R. Schweitzer	Fri Sep 08 01:33:47 +0000 2017	Iowa/USA	RT @CNNPolitics: All five living former presidents launch appeal for help for Harvey victims https://t.co/9CuzuS4aZv https://t.co/6KD4gQmmK7
35878319	Reid Paley	Fri Sep 08 01:33:47 +0000 2017	brooklyn u.s.a.	"RT @kurteichenwald: Gee, how...expected.

REVEALED: Alex Jones and Tucker Carlson spread racist fake news about black Harvey ‘looters’ http…"
772343646	Luís Antônio	Fri Sep 08 01:33:47 +0000 2017	Los Angeles, CA	RT @nflcommish: The NFL is proud to work w/ all the living former Presidents to support hurricane relief efforts. Special TV message airing…
1018792536	aly	Fri Sep 08 01:33:47 +0000 2017	Miami, FL	RT @isabellacast0: Im so glad im still getting paid for the days I can't work bc of the hurricane
246041237	heatherwat	Fri Sep 08 01:33:47 +0000 2017	Northeast	RT @Corrynmb: Obama put the Clintons in charge of Haiti relief &amp; they embezzled millions!No way I would trust this! #Harvey https://t.co/12…
240565319	Evening of Songs	Fri Sep 08 01:33:47 +0000 2017	United States of America	RT @hurrtrackerapp: The size of hurricanes can make a tremendous difference. #Andrew was bad but #Irma may be worse in Florida. https://t.c…
137120546	qonita	Fri Sep 08 01:33:47 +0000 2017		"RT @elisewho: “I don’t know how they’ve done that, to have a Harvey and Irma” 

Adorable, via @nytimes
https://t.co/4NKvkJno7R"
3393260355	gang shit beech	Fri Sep 08 01:33:47 +0000 2017		RT @JoelNihlean: @EricHolthaus I combined the images of Hurricane Andrew (1992) &amp; Hurricane Irma (today) at scale in a gif. Irma is… 
15839158	Graham Phillips	Fri Sep 08 01:33:47 +0000 2017	NYC	Get out get out get out....get get get out out out... https://t.co/35eFW5QFyK
3171838972	susan anderson	Fri Sep 08 01:33:47 +0000 2017	Florida, USA	"RT @exoticgamora: #HurricaneIrma #FLPrepares 

?WiFi?

After the storm, Comcast Xfinity offers everyone free wifi. Details below???

https:…"
